id,job_id,Co,subheading,title,narrative,themes,confidence
A001,J001,Acme Corp,Revenue Growth,Drove ARR expansion from $80M to $120M,"Led product strategy that expanded ARR from $80M to $120M over 24 months by launching two net-new product lines and deepening platform stickiness through a redesigned onboarding flow that reduced time-to-value by 40%.",revenue growth;product strategy;onboarding,high
A002,J001,Acme Corp,Revenue Growth,Launched enterprise tier adding $18M in net new ARR,"Conceived and shipped enterprise product tier in 9 months — including SSO, audit logs, and admin controls — generating $18M in net new ARR within 12 months of launch.",enterprise;product launches;revenue growth,high
A003,J001,Acme Corp,Organizational Leadership,Scaled product org from 2 to 12 across PM and design,"Grew product and design organization from 2 to 12 people over 3 years; introduced career laddering, quarterly planning, and a design system that cut feature delivery time by 30%.",team building;organizational design;product operations,high
A004,J001,Acme Corp,Platform & Retention,Reduced annual churn from 18% to 9%,"Redesigned the core workflow experience based on 200+ customer interviews and behavioral analytics, reducing annual churn from 18% to 9% and increasing NPS from 28 to 54.",retention;user research;NPS;platform,high
A005,J001,Acme Corp,Platform & Retention,Built real-time collaboration features adopted by 70% of accounts,"Shipped real-time collaboration layer — comments, presence, shared views — adopted by 70% of accounts within 90 days, cited as top retention driver in renewal surveys.",platform;collaboration;adoption,medium
A006,J002,Meridian Technologies,GTM & Growth,Led product-led growth motion reducing CAC by 35%,"Designed and executed product-led growth strategy — free tier, in-app upgrade prompts, usage-based triggers — that reduced CAC by 35% and increased self-serve revenue from 8% to 31% of new ARR.",product-led growth;GTM;revenue growth,high
A007,J002,Meridian Technologies,GTM & Growth,Launched partner API program generating $6M pipeline,"Defined and launched a partner API program with 12 integration partners; drove $6M in influenced pipeline within 18 months and expanded addressable market into two adjacent verticals.",partnerships;API;platform;GTM,high
A008,J002,Meridian Technologies,Platform & Retention,Re-platformed core data model reducing bug rate by 60%,"Sponsored and managed 18-month re-platforming of the core data model, reducing customer-reported bugs by 60% and enabling a 2x increase in feature release velocity.",platform;technical leadership;engineering partnerships,medium
A009,J002,Meridian Technologies,Organizational Leadership,Built PM hiring process and career framework,"Created the PM hiring rubric, onboarding program, and career framework for a team growing from 2 to 6; reduced new PM ramp time from 6 months to 10 weeks.",team building;product operations;hiring,medium
A010,J003,Blueshift Labs,0-to-1 Product,Took product from 0 to $4M ARR in 18 months,"Joined as first PM, defined the initial product thesis, and shipped MVP in 4 months; grew to $4M ARR and 60 customers in 18 months by iterating tightly on ICP feedback.",0-to-1;product strategy;early stage;revenue growth,high
A011,J003,Blueshift Labs,0-to-1 Product,Defined pricing and packaging that increased ACV by 80%,"Redesigned pricing from flat-rate to usage-tiered model after 40 customer discovery interviews; increased average ACV by 80% with no increase in churn.",pricing;packaging;revenue growth,high
A012,J003,Blueshift Labs,Organizational Leadership,Hired and onboarded first 3 PMs,"Wrote job descriptions, defined hiring criteria, and onboarded first 3 PMs as company scaled Series A; established product review cadence and roadmap process.",hiring;team building;product operations,medium
A013,J004,Foundry Software,Product Delivery,Shipped enterprise dashboard adopted by 200+ accounts,"Owned roadmap and delivery for enterprise reporting dashboard; shipped 3 major releases over 2.5 years, with the product adopted by 200+ enterprise accounts and cited in 80% of renewal conversations.",enterprise;product delivery;retention,medium
A014,J004,Foundry Software,Product Delivery,Reduced release cycle from quarterly to 6-week sprints,"Partnered with engineering to move from quarterly waterfall releases to 6-week sprints, cutting average time-to-ship by 55% and improving stakeholder satisfaction scores.",product operations;engineering partnerships;delivery velocity,low
